WasteZero, Inc.
R002C0000693,02/13/2026 8:50:35
R002C0000694,02/13/2026 8:50:36
R002C0000695,02/13/2026 8:50:36
R002C0000696,02/13/2026 8:50:37
R002C0000697,02/13/2026 8:50:38
R002C0000698,02/13/2026 8:50:38
R002C0000699,02/13/2026 8:50:39
R002C0000700,02/13/2026 8:50:39
R002C0000701,02/13/2026 8:50:40
R002C0000702,02/13/2026 8:50:41
R002C0000703,02/13/2026 8:50:41
R002C0000704,02/13/2026 8:50:42
R002C0000705,02/13/2026 8:50:43
R002C0000706,02/13/2026 8:50:43
R002C0000707,02/13/2026 8:50:44
R002C0000708,02/13/2026 8:50:44
R002C0000709,02/13/2026 8:50:45
R002C0000710,02/13/2026 8:50:46
R002C0000711,02/13/2026 8:50:46
R002C0000712,02/13/2026 8:50:47
R002C0000713,02/13/2026 8:50:47
R002C0000714,02/13/2026 8:50:48
R002C0000715,02/13/2026 8:50:49
R002C0000716,02/13/2026 8:50:49
R002C0000717,02/13/2026 8:50:50
R002C0000718,02/13/2026 8:50:51
R002C0000719,02/13/2026 8:50:51
R002C0000720,02/13/2026 8:50:52
R002C0000721,02/13/2026 8:50:52
R002C0000722,02/13/2026 8:50:53
R002C0000723,02/13/2026 8:50:54
R002C0000724,02/13/2026 8:50:54
R002C0000725,02/13/2026 8:50:55
R002C0000726,02/13/2026 8:50:55
R002C0000727,02/13/2026 8:50:56
R002C0000728,02/13/2026 8:50:57
R002C0000729,02/13/2026 8:50:57
R002C0000730,02/13/2026 8:50:58
R002C0000731,02/13/2026 8:50:59
R002C0000732,02/13/2026 8:50:59
R002C0000733,02/13/2026 8:51:00
R002C0000734,02/13/2026 8:51:00
R002C0000735,02/13/2026 8:51:01
R002C0000736,02/13/2026 8:51:02
R002C0000737,02/13/2026 8:51:02
R002C0000738,02/13/2026 8:51:03
R002C0000739,02/13/2026 8:51:04
R002C0000740,02/13/2026 8:51:04
R002C0000741,02/13/2026 8:51:05
R002C0000742,02/13/2026 8:51:05
R002C0000743,02/13/2026 8:51:06
R002C0000744,02/13/2026 8:51:07
R002C0000745,02/13/2026 8:51:07
R002C0000746,02/13/2026 8:51:08
R002C0000747,02/13/2026 8:51:08
R002C0000748,02/13/2026 8:51:09
R002C0000749,02/13/2026 8:51:10
R002C0000750,02/13/2026 8:51:10
R002C0000751,02/13/2026 8:51:11
R002C0000752,02/13/2026 8:51:12
R002C0000753,02/13/2026 8:51:12
R002C0000754,02/13/2026 8:51:13
R002C0000755,02/13/2026 8:51:13
R002C0000756,02/13/2026 8:51:14
R002C0000757,02/13/2026 8:51:15
R002C0000758,02/13/2026 8:51:15
R002C0000759,02/13/2026 8:51:16
R002C0000760,02/13/2026 8:51:17
R002C0000761,02/13/2026 8:51:17
R002C0000762,02/13/2026 8:51:18
R002C0000763,02/13/2026 8:51:18
R002C0000764,02/13/2026 8:51:19
R002C0000765,02/13/2026 8:51:20
R002C0000766,02/13/2026 8:51:20
R002C0000767,02/13/2026 8:51:21
R002C0000768,02/13/2026 8:51:21
R002C0000769,02/13/2026 8:51:22
R002C0000770,02/13/2026 8:51:23
R002C0000771,02/13/2026 8:51:23
R002C0000772,02/13/2026 8:51:24
R002C0000773,02/13/2026 8:51:25
R002C0000774,02/13/2026 8:51:25
R002C0000775,02/13/2026 8:51:26
R002C0000776,02/13/2026 8:51:26
R002C0000777,02/13/2026 8:51:27
R002C0000778,02/13/2026 8:51:28
R002C0000779,02/13/2026 8:51:28
Bad_Read,02/13/2026 8:51:29
R002C0000781,02/13/2026 8:51:30
R002C0000782,02/13/2026 8:51:30
R002C0000783,02/13/2026 8:51:31
R002C0000784,02/13/2026 8:51:31
R002C0000785,02/13/2026 8:51:32
R002C0000786,02/13/2026 8:51:33
R002C0000787,02/13/2026 8:51:33
R002C0000788,02/13/2026 8:51:34
R002C0000789,02/13/2026 8:51:34
R002C0000790,02/13/2026 8:51:35
R002C0000791,02/13/2026 8:51:36
R002C0000792,02/13/2026 8:51:36
R002C0000793,02/13/2026 8:51:37
R002C0000794,02/13/2026 8:51:38
R002C0000795,02/13/2026 8:51:38
R002C0000796,02/13/2026 8:51:39
R002C0000797,02/13/2026 8:51:39
R002C0000798,02/13/2026 8:51:40
R002C0000799,02/13/2026 8:51:41
R002C0000800,02/13/2026 8:51:41
R002C0000801,02/13/2026 8:51:42
R002C0000802,02/13/2026 8:51:42
R002C0000803,02/13/2026 8:51:43
R002C0000804,02/13/2026 8:51:44
R002C0000805,02/13/2026 8:51:44
R002C0000806,02/13/2026 8:51:45
R002C0000807,02/13/2026 8:51:46
R002C0000808,02/13/2026 8:51:46
R002C0000809,02/13/2026 8:51:47
R002C0000810,02/13/2026 8:51:47
R002C0000811,02/13/2026 8:51:48
R002C0000812,02/13/2026 8:51:49
R002C0000813,02/13/2026 8:51:49
R002C0000814,02/13/2026 8:51:50
R002C0000815,02/13/2026 8:51:51
R002C0000816,02/13/2026 8:51:51
R002C0000817,02/13/2026 8:51:52
R002C0000818,02/13/2026 8:51:52
R002C0000819,02/13/2026 8:51:53
R002C0000820,02/13/2026 8:51:54
R002C0000821,02/13/2026 8:51:54
R002C0000822,02/13/2026 8:51:55
R002C0000823,02/13/2026 8:51:55
R002C0000824,02/13/2026 8:51:56
R002C0000825,02/13/2026 8:51:57
R002C0000826,02/13/2026 8:51:57
R002C0000827,02/13/2026 8:51:58
R002C0000828,02/13/2026 8:51:59
R002C0000829,02/13/2026 8:51:59


Total Reads: 832
Bad Reads: 19
Sequence Errors: 0
Job End: 02/13/2026 8:52:18

